 stage   name      force      lambda0     lambda1  dA/dlambda 
  18       9      0.2000      0.8500      0.9000     -3.0865 
  18      10      0.0797      0.8500      0.9000     -1.0430 
  18      11      0.0936      0.8500      0.9000     -2.1269 
  18      12      0.0541      0.8500      0.9000     -1.9399 
  18      13      0.1064      0.8500      0.9000     -1.4047 
  18      15      0.0989      0.8500      0.9000     -0.9157 
  18      16      0.4520      0.8500      0.9000     -2.3937 
  18      17      0.8260      0.8500      0.9000     -3.8369 
  18      18      0.4906      0.8500      0.9000     -2.1158 
  18      19      0.4250      0.8500      0.9000     -3.6437 
  18      20      0.1197      0.8500      0.9000     -1.2303 
  18      21      0.1138      0.8500      0.9000     -1.5054 
  18      22      0.0542      0.8500      0.9000     -1.2532 
  19       1      0.1031      0.9000      0.9500     -4.6216 
  19       2      0.1325      0.9000      0.9500     -3.9235 
  19       3      0.1099      0.9000      0.9500     -2.4511 
  19       4      0.0538      0.9000      0.9500     -2.6332 
  19       5      0.0671      0.9000      0.9500     -1.3778 
  19       6      0.0727      0.9000      0.9500     -4.6822 
  19       7      0.1694      0.9000      0.9500     -6.4235 
  19       8      0.0595      0.9000      0.9500     -1.6826 
  19       9      0.1000      0.9000      0.9500     -4.4157 
  19      10      0.0398      0.9000      0.9500     -1.6608 
  19      11      0.0468      0.9000      0.9500     -3.0866 
  19      12      0.0271      0.9000      0.9500     -2.8742 
  19      13      0.0532      0.9000      0.9500     -2.1192 
  19      15      0.0495      0.9000      0.9500     -1.2065 
  19      16      0.2260      0.9000      0.9500     -4.5146 
  19      17      0.4130      0.9000      0.9500     -5.3565 
  19      18      0.2453      0.9000      0.9500     -3.2643 
  19      19      0.2125      0.9000      0.9500     -4.1697 
  19      20      0.0599      0.9000      0.9500     -1.3473 
  19      21      0.0569      0.9000      0.9500     -2.1151 
  19      22      0.0271      0.9000      0.9500     -1.2649 
  20       1      0.0000      0.9500      1.0000     -7.5956 
  20       2      0.0000      0.9500      1.0000     -6.5428 
  20       3      0.0000      0.9500      1.0000     -4.4908 
  20       4      0.0000      0.9500      1.0000     -4.5061 
  20       5      0.0000      0.9500      1.0000     -3.1578 
  20       6      0.0000      0.9500      1.0000     -7.2859 
